Date,Equal Weight,Minimum Variance,Maximum Sharpe,S&P 500 Benchmark
2018-01-05,0.005997678683845798,0.004222093033604981,0.009782400271454586,0.007033767443369587
2018-01-08,0.006167025444739761,0.0013292077668694995,0.011970595990523787,0.0016623439316436617
2018-01-09,0.0021239840370625095,0.005053103011943542,0.005907559441539561,0.0013029315960912946
2018-01-10,-0.0014978932942241285,-0.003854449185374931,-0.0002953186915065724,-0.0011122268282528491
2018-01-11,0.006225365280697814,0.0035185878417153312,0.009084345595118538,0.007033646478779465
2018-01-12,0.006450940061528233,0.0033025439447833976,0.004109376718146127,0.006749602987881076
2018-01-16,-0.002552405810482417,0.005266043877554319,-0.003070247150525307,-0.003524487622672101
2018-01-17,0.010698502665242016,0.0072366512274483165,0.011565716170422168,0.009415051560751175
2018-01-18,-0.0013155685866126255,-0.0015249220376025475,-0.002442332150867794,-0.0016163897301626484
2018-01-19,0.006228802266841926,0.006135605806619077,0.014584831548161845,0.004385235112838837
2018-01-22,0.008689225271945744,0.006815145038267517,0.011363510923942388,0.008066726499347698
2018-01-23,-0.00531690178455414,-0.01777401203475379,-0.004374781910698527,0.0021743654797181655
2018-01-24,-0.001302820487930589,0.0014320450517228307,-0.0022002227821908997,-0.0005599757022828333
2018-01-25,0.000743305126713867,0.0038493611222900374,0.004405754762762496,0.0006026209018938911
2018-01-26,0.007247192945303638,0.006002588005002941,0.011765009084016504,0.011841196508761032
2018-01-29,-0.009621281635272651,-0.013402852044121673,-0.005237439306008426,-0.006731974332887192
2018-01-30,-0.008020834254742414,-0.006578837775817949,-0.011106933450795475,-0.010898815620283941
2018-01-31,0.0007298258817267971,-0.00899366579025836,-0.0054143533945962795,0.0004889853730833948
2018-02-01,-3.867351363518999e-05,0.0024570679009693003,-0.005015886183700057,-0.0006480882520516484
2018-02-02,-0.02813209261535383,-0.02109143711244898,-0.026043533256214054,-0.02120854792396809
2018-02-05,-0.04827762213499335,-0.04528778485714471,-0.061706900260596526,-0.04097922480422822
2018-02-06,0.024947603957013578,0.010651488908062544,0.03767494345475691,0.017440920592313836
2018-02-07,-0.006123630596437902,-0.004786460996176442,0.0021107264595742257,-0.005001588416939429
2018-02-08,-0.03814747630014277,-0.033064672510977666,-0.048156386319389476,-0.03753641975808808
2018-02-09,0.020295667623206927,0.00965576062544496,0.034611253017141526,0.014936090208494734
2018-02-12,0.01206439901127999,0.013156458827721,-0.0009963234253427475,0.013914584754042503
2018-02-13,0.005654679786845407,0.0015044966363519643,0.006451040371531153,0.0026129297463290957
2018-02-14,0.01146175506418633,-0.001355259969288682,0.01616065333396712,0.013402458257245842
2018-02-15,0.014007687813564694,0.013805952958095427,0.012076020563021587,0.012069112762299383
2018-02-16,-0.0016493400628192383,0.006640447773918534,0.00012094914259573795,0.0003734693722488025
2018-02-20,-0.004455675474417819,-0.015451857571848245,0.001245963974189412,-0.005841389459353419
2018-02-21,-0.011267093064048439,-0.012085843732861925,-0.017183707173707794,-0.0054965031281792864
2018-02-22,0.007356482444547252,0.005591076766356319,0.007865978326600142,0.0009735510790762625
2018-02-23,0.016934450132045222,0.012719146284140687,0.016758551891127575,0.01602837635051313
2018-02-26,0.008839475481340554,0.0051294436921366085,0.003979016320235361,0.011757015343810906
2018-02-27,-0.010600795405502916,-0.009592794313942082,-0.009087631437500594,-0.012706888443829278
2018-02-28,-0.016474485237322912,-0.015285067581700954,-0.01815468892757647,-0.011095788639207016
