Rebalance_Date,Portfolio,AAPL,MSFT,JPM,XOM,JNJ,PG,NVDA,KO,CAT,HD
2018-01-05,Equal Weight,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-01-05,Minimum Variance,0.033924622475738055,4.917534769994608e-18,0.0,0.056312425842711934,0.2888649250477167,0.19423538470349713,1.3761956405596503e-18,0.3,0.02077797910709505,0.10588466282324106
2018-01-05,Maximum Sharpe,2.682085549374484e-17,0.011385764387509208,0.012797170341805011,0.0,0.25060452557355395,0.0,0.3,1.6116694387148314e-17,0.1252125396971319,0.3
2018-04-05,Equal Weight,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-04-05,Minimum Variance,0.03563258456507687,0.0,0.0,0.06725007495408246,0.24043272651226477,0.2338205971653866,4.283331589072961e-18,0.3,0.009491471535710191,0.11337254526747904
2018-04-05,Maximum Sharpe,0.0,0.2210837334704575,0.09898142641814625,4.167944422338929e-18,0.14195838681095355,3.487743944390274e-17,0.3,1.9550543248902024e-17,0.12312986881248209,0.11484658448796065
2018-07-05,Equal Weight,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-07-05,Minimum Variance,0.05212074234480184,6.817154820159821e-18,2.6281056558359354e-19,0.06422996946588626,0.24310765597512413,0.2199989154855188,0.0,0.3,2.2138298352644876e-18,0.120542716728669
2018-07-05,Maximum Sharpe,3.5284787686847903e-17,0.22600749314320273,8.572503426020662e-17,1.0748397849434848e-16,0.09000241086721936,8.356998415318603e-17,0.3,0.05237109636127722,0.03161899962830052,0.2999999999999999
2018-10-05,Equal Weight,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2018-10-05,Minimum Variance,0.07965203359732166,4.981460420894687e-18,0.017040399573175054,0.09561270293091023,0.18849395552708134,0.1963222898427755,0.0,0.3,0.0,0.12287861852873619
2018-10-05,Maximum Sharpe,0.06119652996863431,0.13912992320639478,2.451769134737269e-17,0.0,0.23291216480757396,3.036888906788699e-17,0.29999999999999993,5.951021058522394e-17,0.17259779703818048,0.09416358497921666
2019-01-07,Equal Weight,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2019-01-07,Minimum Variance,0.04501028270021444,2.136627109253709e-18,0.05269082204983902,0.11590360196013876,0.1783797517540146,0.20715364155595978,2.516284023307069e-18,0.3,2.0226482382888024e-18,0.10086189997983352
2019-01-07,Maximum Sharpe,0.0,0.14251690994592245,0.1278026838026232,0.0,0.12312718379321988,0.20544906628409731,0.23067123950808482,0.013044717718137915,0.15738819894791467,5.853415279260722e-17
2019-04-08,Equal Weight,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
