Ticker,Model,MAE,RMSE,R2,Directional_Accuracy
AAPL,CNN-LSTM,0.019542433321475983,0.024924287290628042,-0.9160943031311035,46.4354527938343
AAPL,CNN-GRU,0.02110213413834572,0.028630798066993035,-1.5283563137054443,51.83044315992292
AAPL,Attention-LSTM,0.05467874929308891,0.06358724627640101,-11.471291542053223,45.27938342967245
AAPL,MLP,0.013328409753739834,0.019345017008912144,-0.15427589416503906,47.784200385356456
MSFT,CNN-LSTM,0.018068445846438408,0.02459791930118442,-0.8691748380661011,45.08670520231214
MSFT,CNN-GRU,0.020048625767230988,0.03035338194283609,-1.846212387084961,47.784200385356456
MSFT,Attention-LSTM,0.04667716473340988,0.05895950877962035,-9.738926887512207,48.36223506743738
MSFT,MLP,0.0164946299046278,0.02282148561258758,-0.6089441776275635,51.05973025048169
JPM,CNN-LSTM,0.027529355138540268,0.03572663883578122,-4.25027322769165,53.5645472061657
JPM,CNN-GRU,0.06301186233758926,0.07563084948691157,-22.5285701751709,49.71098265895954
JPM,Attention-LSTM,0.1734013706445694,0.1844934475007849,-139.0101318359375,43.93063583815029
JPM,MLP,0.025819269940257072,0.035981491299528774,-4.32544469833374,47.784200385356456
XOM,CNN-LSTM,0.0130614647641778,0.017126456279031973,-0.20097482204437256,52.79383429672448
XOM,CNN-GRU,0.01993531361222267,0.02625167010804468,-1.8217124938964844,48.554913294797686
XOM,Attention-LSTM,0.05521887168288231,0.06575849103129988,-16.70526885986328,48.747591522158
XOM,MLP,0.022476835176348686,0.02774695414215173,-2.1523141860961914,45.27938342967245
JNJ,CNN-LSTM,0.017837708815932274,0.023512990641997925,-2.893737554550171,48.36223506743738
JNJ,CNN-GRU,0.047243036329746246,0.0633983166482541,-27.307817459106445,49.51830443159923
JNJ,Attention-LSTM,0.03858631104230881,0.04920243558630844,-16.049989700317383,46.4354527938343
JNJ,MLP,0.008814984932541847,0.01203718579795088,-0.02047133445739746,55.10597302504817
PG,CNN-LSTM,0.012237504124641418,0.015788080353133317,-0.7551789283752441,48.16955684007707
PG,CNN-GRU,0.0169566348195076,0.02166417459332699,-2.304813861846924,45.857418111753375
PG,Attention-LSTM,0.046441465616226196,0.05747586837218232,-22.261289596557617,47.97687861271676
PG,MLP,0.009422346018254757,0.012355418138863187,-0.07492363452911377,50.86705202312138
NVDA,CNN-LSTM,0.024309704080224037,0.03187402892035985,-0.2614856958389282,52.601156069364166
NVDA,CNN-GRU,0.16915574669837952,0.19669552372778176,-47.03937530517578,52.02312138728323
NVDA,Attention-LSTM,0.2260432094335556,0.2446954906859169,-73.34646606445312,52.408477842003855
NVDA,MLP,0.14679864048957825,0.17247789478854422,-35.93816375732422,47.97687861271676
KO,CNN-LSTM,0.011772171594202518,0.014697999852714543,-0.7237832546234131,52.408477842003855
KO,CNN-GRU,0.020110297948122025,0.02596373981020315,-4.378989219665527,51.05973025048169
KO,Attention-LSTM,0.0715331882238388,0.08140187706157521,-51.873130798339844,52.02312138728323
KO,MLP,0.009550568647682667,0.012583940431267085,-0.26357054710388184,51.05973025048169
CAT,CNN-LSTM,0.03925810381770134,0.056141528871067145,-5.495416641235352,49.13294797687861
CAT,CNN-GRU,0.08963527530431747,0.11916591813557069,-28.264604568481445,48.16955684007707
CAT,Attention-LSTM,0.17254702746868134,0.20007935864337462,-81.49794006347656,46.628131021194605
CAT,MLP,0.015916479751467705,0.022137805398442418,-0.009968161582946777,52.408477842003855
HD,CNN-LSTM,0.012056034989655018,0.015551318846635192,-0.07997775077819824,47.784200385356456
HD,CNN-GRU,0.012654628604650497,0.01637278198609015,-0.19708585739135742,51.445086705202314
HD,Attention-LSTM,0.030100088566541672,0.03637991003525412,-4.910219192504883,52.98651252408478
HD,MLP,0.012022516690194607,0.015669928530570754,-0.09651458263397217,53.371868978805395
