,Annualized_Return,Annualized_Volatility,Sharpe,Sortino,Beta,Max_Drawdown
Equal Weight,0.2658752084575098,0.13778562041508555,1.9296295771398237,3.02097250794743,0.7254151733344473,-0.15495144705921282
Minimum Variance,0.23630624237361753,0.13938902170054032,1.6953002430944066,2.6107840326754617,0.13513188470863005,-0.0913558172186889
Maximum Sharpe,0.23364350669128675,0.20209170672089546,1.1561261492732446,1.7627380134212012,1.0881153531430925,-0.21245576374534125
S&P 500 Benchmark,0.16931206045676173,0.16743547459170016,1.011207815247263,1.5047097642050906,0.9999999999999999,-0.18902206184283954
