,Annualized_Return,Annualized_Volatility,Sharpe,Sortino,Beta,Max_Drawdown
Equal Weight,0.2189616018026162,0.19024112483463998,1.1509688138825946,1.0940914978470668,0.9430676706416448,-0.3288344063580111
Minimum Variance,0.11854965708051446,0.15941110136664458,0.7436725301072411,0.7026591280788622,0.602454793471943,-0.341053346905952
Maximum Sharpe,0.22052972454469444,0.23182530660465675,0.9512754572596113,0.9000812555446112,1.053821075852336,-0.34936202132514693
S&P 500 Benchmark,0.13774769314925553,0.19186538040874862,0.7179392804256758,0.6788386216246376,1.0,-0.33924960002653315
