Model,MAE,RMSE,R2,Directional_Accuracy,Delta_MAE,Delta_Directional_Accuracy
Ridge Without Sentiment,0.008829531352338982,0.011907148176493423,-0.13927150658547394,54.761904761904766,,
Ridge With Sentiment,0.008938650034633814,0.012053234973713129,-0.1673980553447445,55.35714285714286,0.0001091186822948318,0.5952380952380949
