,Equal Weight,Minimum Variance,Maximum Sharpe
AAPL,10.0,3.0421960752424115,14.01676762363016
MSFT,10.0,0.3212166893110656,8.71520226625946
JPM,10.0,0.0,10.069047372695104
XOM,10.0,7.287580216520088,0.0
JNJ,10.0,30.0,0.49757598191350627
PG,10.0,23.63029620641854,25.624908450356177
NVDA,10.0,0.05253726912687294,30.0
KO,10.0,27.818407359486564,0.12496915434892956
CAT,10.0,2.304355325247838,9.071204566490653
HD,10.0,5.543410858646617,1.8803245843060021
