Model,MAE,RMSE,MAPE,R2,Directional_Accuracy
LSTM,0.012606,0.018658,182.5669,-0.079321,49.42
GRU,0.012163,0.018178,143.6683,-0.024479,50.58
BiLSTM,0.012027,0.018072,118.0911,-0.012542,48.46
Transformer,0.011923,0.018009,144.4089,-0.005576,53.47
Attention-LSTM,0.09152274467051026,0.10420336339727174,,-42.686465454101565,48.47784200385357
CNN-GRU,0.04798535555601115,0.06041271545060116,,-13.721753764152528,49.59537572254335
CNN-LSTM,0.01956729264929887,0.02599412491925332,,-1.6446097016334533,49.63391136801541
MLP,0.028064468130469276,0.03531571211488182,,-4.3644590973854065,50.26974951830444
